in_WIDTH,in_LENGTH,in_HIGHT,in_ORIENTATION,in_WINDOWS_RATIO,out_AREA,out_FORM_FACTOR,out_S_V_RATIO,out_COOLING,out_HEATING,out_TOTAL
30,30,8,0,0.10,1078,1.8905,0.4726,44.0980,1.6397,45.7377
40,30,8,0,0.1,1298,1.8629,0.4657,44.0785,1.6182,45.6967
50,30,8,0,0.1,1518,1.8432,0.4608,44.0635,1.6013,45.6649
60,30,8,0,0.1,1738,1.8285,0.4571,44.0041,1.6009,45.6050
30,40,8,0,0.1,1298,1.8629,0.4657,44.0765,1.6608,45.7373
40,40,8,0,0.1,1518,1.8432,0.4608,44.0622,1.6398,45.7020
50,40,8,0,0.1,1738,1.8285,0.4571,44.0504,1.6243,45.6747
60,40,8,0,0.1,1958,1.8172,0.4543,43.9984,1.6212,45.6195
30,50,8,0,0.1,1518,1.8432,0.4608,44.0577,1.6780,45.7357
40,50,8,0,0.1,1738,1.8285,0.4571,44.0494,1.6569,45.7063
50,50,8,0,0.1,1958,1.8172,0.4543,44.0421,1.6397,45.6817
60,50,8,0,0.1,2178,1.8081,0.4520,43.9962,1.6358,45.6319
30,60,8,0,0.1,1738,1.8285,0.4571,44.0172,1.6948,45.7120
40,60,8,0,0.1,1958,1.8172,0.4543,44.0142,1.6740,45.6882
50,60,8,0,0.1,2178,1.8081,0.4520,44.0130,1.6575,45.6705
60,60,8,0,0.1,2398,1.8007,0.4502,43.9749,1.6525,45.6275
30,30,12,0,0.1,1617,1.5572,0.3893,44.3439,1.5114,45.8553
40,30,12,0,0.1,1947,1.5295,0.3824,44.3352,1.4882,45.8234
50,30,12,0,0.1,2277,1.5099,0.3775,44.3310,1.4673,45.7983
60,30,12,0,0.1,2607,1.4952,0.3738,44.2812,1.4639,45.7451
30,40,12,0,0.1,1947,1.5295,0.3824,44.3293,1.5310,45.8603
40,40,12,0,0.1,2277,1.5099,0.3775,44.3227,1.5075,45.8302
50,40,12,0,0.1,2607,1.4952,0.3738,44.3210,1.4877,45.8087
60,40,12,0,0.1,2937,1.4838,0.3710,44.2771,1.4842,45.7613
30,50,12,0,0.1,2277,1.5099,0.3775,44.3197,1.5444,45.8641
40,50,12,0,0.1,2607,1.4952,0.3738,44.3158,1.5229,45.8388
50,50,12,0,0.1,2937,1.4838,0.3710,44.3138,1.5036,45.8174
60,50,12,0,0.1,3267,1.4747,0.3687,44.2777,1.4980,45.7757
30,60,12,0,0.1,2607,1.4952,0.3738,44.2847,1.5605,45.8452
40,60,12,0,0.1,2937,1.4838,0.3710,44.2859,1.5385,45.8244
50,60,12,0,0.1,3267,1.4747,0.3687,44.2898,1.5209,45.8107
60,60,12,0,0.1,3597,1.4673,0.3668,44.2574,1.5144,45.7717
30,30,16,0,0.1,2156,1.3905,0.3476,44.4323,1.4596,45.8919
40,30,16,0,0.1,2596,1.3629,0.3407,44.4293,1.4331,45.8624
50,30,16,0,0.1,3036,1.3432,0.3358,44.4335,1.4111,45.8447
60,30,16,0,0.1,3476,1.3285,0.3321,44.3892,1.4058,45.7950
30,40,16,0,0.1,2596,1.3629,0.3407,44.4241,1.4765,45.9006
40,40,16,0,0.1,3036,1.3432,0.3358,44.4205,1.4528,45.8733
50,40,16,0,0.1,3476,1.3285,0.3321,44.4231,1.4309,45.8540
60,40,16,0,0.1,3916,1.3172,0.3293,44.3840,1.4254,45.8094
30,50,16,0,0.1,3036,1.3432,0.3358,44.4182,1.4886,45.9068
40,50,16,0,0.1,3476,1.3285,0.3321,44.4140,1.4675,45.8814
50,50,16,0,0.1,3916,1.3172,0.3293,44.4172,1.4472,45.8644
60,50,16,0,0.1,4356,1.3081,0.3270,44.3831,1.4416,45.8247
30,60,16,0,0.1,3476,1.3285,0.3321,44.3863,1.5039,45.8902
40,60,16,0,0.1,3916,1.3172,0.3293,44.3871,1.4834,45.8705
50,60,16,0,0.1,4356,1.3081,0.3270,44.3930,1.4637,45.8567
60,60,16,0,0.1,4796,1.3007,0.3252,44.3632,1.4569,45.8201
30,30,8,45,0.1,1078,1.8905,0.4726,43.9342,1.7115,45.6457
40,30,8,45,0.1,1298,1.8629,0.4657,43.9170,1.7180,45.6351
50,30,8,45,0.1,1518,1.8432,0.4608,43.9047,1.7208,45.6254
60,30,8,45,0.1,1738,1.8285,0.4571,43.8521,1.7354,45.5875
30,40,8,45,0.1,1298,1.8629,0.4657,43.9104,1.7108,45.6212
40,40,8,45,0.1,1518,1.8432,0.4608,43.8957,1.7173,45.6129
50,40,8,45,0.1,1738,1.8285,0.4571,43.8850,1.7213,45.6063
60,40,8,45,0.1,1958,1.8172,0.4543,43.8394,1.7323,45.5717
30,50,8,45,0.1,1518,1.8432,0.4608,43.8984,1.7095,45.6079
40,50,8,45,0.1,1738,1.8285,0.4571,43.8829,1.7160,45.5989
50,50,8,45,0.1,1958,1.8172,0.4543,43.8742,1.7201,45.5943
60,50,8,45,0.1,2178,1.8081,0.4520,43.8334,1.7298,45.5632
30,60,8,45,0.1,1738,1.8285,0.4571,43.8460,1.7199,45.5660
40,60,8,45,0.1,1958,1.8172,0.4543,43.8370,1.7244,45.5614
50,60,8,45,0.1,2178,1.8081,0.4520,43.8330,1.7274,45.5603
60,60,8,45,0.1,2398,1.8007,0.4502,43.7986,1.7356,45.5343
30,30,12,45,0.1,1617,1.5572,0.3893,44.1914,1.5715,45.7629
40,30,12,45,0.1,1947,1.5295,0.3824,44.1788,1.5767,45.7555
50,30,12,45,0.1,2277,1.5099,0.3775,44.1736,1.5797,45.7533
60,30,12,45,0.1,2607,1.4952,0.3738,44.1287,1.5927,45.7213
30,40,12,45,0.1,1947,1.5295,0.3824,44.1740,1.5704,45.7445
40,40,12,45,0.1,2277,1.5099,0.3775,44.1595,1.5760,45.7356
50,40,12,45,0.1,2607,1.4952,0.3738,44.1554,1.5783,45.7337
60,40,12,45,0.1,2937,1.4838,0.3710,44.1159,1.5903,45.7062
30,50,12,45,0.1,2277,1.5099,0.3775,44.1667,1.5680,45.7347
40,50,12,45,0.1,2607,1.4952,0.3738,44.1523,1.5742,45.7264
50,50,12,45,0.1,2937,1.4838,0.3710,44.1476,1.5775,45.7252
60,50,12,45,0.1,3267,1.4747,0.3687,44.1119,1.5875,45.6993
30,60,12,45,0.1,2607,1.4952,0.3738,44.1205,1.5777,45.6982
40,60,12,45,0.1,2937,1.4838,0.3710,44.1118,1.5822,45.6940
50,60,12,45,0.1,3267,1.4747,0.3687,44.1107,1.5833,45.6939
60,60,12,45,0.1,3597,1.4673,0.3668,44.0797,1.5932,45.6729
30,30,16,45,0.1,2156,1.3905,0.3476,44.2930,1.5077,45.8006
40,30,16,45,0.1,2596,1.3629,0.3407,44.2829,1.5133,45.7962
50,30,16,45,0.1,3036,1.3432,0.3358,44.2833,1.5155,45.7988
60,30,16,45,0.1,3476,1.3285,0.3321,44.2401,1.5303,45.7704
30,40,16,45,0.1,2596,1.3629,0.3407,44.2771,1.5059,45.7830
40,40,16,45,0.1,3036,1.3432,0.3358,44.2642,1.5106,45.7748
50,40,16,45,0.1,3476,1.3285,0.3321,44.2607,1.5159,45.7766
60,40,16,45,0.1,3916,1.3172,0.3293,44.2254,1.5279,45.7533
30,50,16,45,0.1,3036,1.3432,0.3358,44.2727,1.5038,45.7764
40,50,16,45,0.1,3476,1.3285,0.3321,44.2574,1.5103,45.7677
50,50,16,45,0.1,3916,1.3172,0.3293,44.2536,1.5139,45.7675
60,50,16,45,0.1,4356,1.3081,0.3270,44.2209,1.5249,45.7459
30,60,16,45,0.1,3476,1.3285,0.3321,44.2288,1.5137,45.7425
40,60,16,45,0.1,3916,1.3172,0.3293,44.2187,1.5184,45.7371
50,60,16,45,0.1,4356,1.3081,0.3270,44.2198,1.5209,45.7407
60,60,16,45,0.1,4796,1.3007,0.3252,44.1888,1.5308,45.7196
30,30,8,90,0.1,1078,1.8905,0.4726,44.1009,1.6426,45.7436
40,30,8,90,0.1,1298,1.8629,0.4657,44.0787,1.6648,45.7435
50,30,8,90,0.1,1518,1.8432,0.4608,44.0599,1.6801,45.7400
60,30,8,90,0.1,1738,1.8285,0.4571,44.0173,1.6977,45.7150
30,40,8,90,0.1,1298,1.8629,0.4657,44.0821,1.6224,45.7045
40,40,8,90,0.1,1518,1.8432,0.4608,44.0642,1.6433,45.7075
50,40,8,90,0.1,1738,1.8285,0.4571,44.0512,1.6597,45.7110
60,40,8,90,0.1,1958,1.8172,0.4543,44.0140,1.6767,45.6907
30,50,8,90,0.1,1518,1.8432,0.4608,44.0653,1.6048,45.6701
40,50,8,90,0.1,1738,1.8285,0.4571,44.0526,1.6274,45.6800
50,50,8,90,0.1,1958,1.8172,0.4543,44.0438,1.6420,45.6858
60,50,8,90,0.1,2178,1.8081,0.4520,44.0130,1.6599,45.6729
30,60,8,90,0.1,1738,1.8285,0.4571,44.0047,1.6050,45.6097
40,60,8,90,0.1,1958,1.8172,0.4543,43.9989,1.6252,45.6241
50,60,8,90,0.1,2178,1.8081,0.4520,43.9967,1.6390,45.6357
60,60,8,90,0.1,2398,1.8007,0.4502,43.9740,1.6553,45.6293
30,30,12,90,0.1,1617,1.5572,0.3893,44.3477,1.5174,45.8651
40,30,12,90,0.1,1947,1.5295,0.3824,44.3342,1.5360,45.8701
50,30,12,90,0.1,2277,1.5099,0.3775,44.3221,1.5489,45.8709
60,30,12,90,0.1,2607,1.4952,0.3738,44.2858,1.5641,45.8499
30,40,12,90,0.1,1947,1.5295,0.3824,44.3385,1.4941,45.8326
40,40,12,90,0.1,2277,1.5099,0.3775,44.3274,1.5125,45.8399
50,40,12,90,0.1,2607,1.4952,0.3738,44.3184,1.5272,45.8456
