WIDTH,LENGTH,HIGHT,ORIENTATION,WINDOWS_RATIO,SKYLIGHT_RATIO,AREA,COURT_LENGTH,COURT_WIDTH,FORM_FACTOR,S/V_RATIO,COOLING_LOAD,HEATING_LOAD,TOTAL_LOAD
60,30,8,315,0.1,0.1,3600,8,38,1.4,0.35,43.59590137,1.56018183,45.1560832
60,30,8,135,0.1,0.1,3600,8,38,1.4,0.35,43.59737482,1.56045626,45.15783109
30,60,8,225,0.1,0.1,3600,38,8,1.4,0.35,43.59780201,1.56011642,45.15791843
60,30,8,225,0.1,0.1,3600,8,38,1.4,0.35,43.59611366,1.57274695,45.16886061
30,60,8,315,0.1,0.1,3600,38,8,1.4,0.35,43.59883664,1.57280003,45.17163668
60,30,8,45,0.1,0.1,3600,8,38,1.4,0.35,43.60193954,1.5707427,45.17268224
30,60,8,90,0.1,0.1,3600,38,8,1.4,0.35,43.70630593,1.47887765,45.18518358
30,60,8,270,0.1,0.1,3600,38,8,1.4,0.35,43.70630593,1.47887765,45.18518358
60,30,8,0,0.1,0.1,3600,8,38,1.4,0.35,43.7088726,1.47804623,45.18691883
60,30,8,180,0.1,0.1,3600,8,38,1.4,0.35,43.7088726,1.47804623,45.18691883
50,30,8,135,0.1,0.1,3000,8,28,1.4267,0.3567,43.63570173,1.56803549,45.20373722
50,30,8,315,0.1,0.1,3000,8,28,1.4267,0.3567,43.63928209,1.56593164,45.20521373
30,50,8,225,0.1,0.1,3000,28,8,1.4267,0.3567,43.63847688,1.56714367,45.20562055
30,50,8,45,0.1,0.1,3000,28,8,1.4267,0.3567,43.6394591,1.56637638,45.20583549
50,30,8,225,0.1,0.1,3000,8,28,1.4267,0.3567,43.63377777,1.57802987,45.21180764
30,50,8,315,0.1,0.1,3000,28,8,1.4267,0.3567,43.64094177,1.57605448,45.21699625
30,50,8,135,0.1,0.1,3000,28,8,1.4267,0.3567,43.64081575,1.57622331,45.21703907
50,30,8,45,0.1,0.1,3000,8,28,1.4267,0.3567,43.64356134,1.57492411,45.21848544
40,30,8,315,0.1,0.1,2400,8,18,1.4667,0.3667,43.64559094,1.58517216,45.23076309
40,30,8,135,0.1,0.1,2400,8,18,1.4667,0.3667,43.64474568,1.58832128,45.23306697
30,40,8,225,0.1,0.1,2400,18,8,1.4667,0.3667,43.64573126,1.58791459,45.23364586
40,30,8,45,0.1,0.1,2400,8,18,1.4667,0.3667,43.6433463,1.59152446,45.23487076
30,40,8,315,0.1,0.1,2400,18,8,1.4667,0.3667,43.64581239,1.59171007,45.23752247
30,40,8,135,0.1,0.1,2400,18,8,1.4667,0.3667,43.64762287,1.59088033,45.2385032
40,30,8,225,0.1,0.1,2400,8,18,1.4667,0.3667,43.64836613,1.59052736,45.2388935
30,50,8,90,0.1,0.1,3000,28,8,1.4267,0.3567,43.75729269,1.48693873,45.24423142
30,50,8,270,0.1,0.1,3000,28,8,1.4267,0.3567,43.75729269,1.48693873,45.24423142
50,30,8,0,0.1,0.1,3000,8,28,1.4267,0.3567,43.75785476,1.48682562,45.24468038
50,30,8,180,0.1,0.1,3000,8,28,1.4267,0.3567,43.75785476,1.48682562,45.24468038
30,60,8,0,0.1,0.1,3600,38,8,1.4,0.35,43.70314249,1.54244992,45.24559241
30,60,8,180,0.1,0.1,3600,38,8,1.4,0.35,43.70314249,1.54244992,45.24559241
60,30,8,90,0.1,0.1,3600,8,38,1.4,0.35,43.70509182,1.5412136,45.24630542
60,30,8,270,0.1,0.1,3600,8,38,1.4,0.35,43.70509182,1.5412136,45.24630542
30,30,8,45,0.1,0.1,1800,8,8,1.5333,0.3833,43.64772362,1.624867,45.27259063
30,30,8,315,0.1,0.1,1800,8,8,1.5333,0.3833,43.64772362,1.624867,45.27259063
30,30,8,135,0.1,0.1,1800,8,8,1.5333,0.3833,43.64762731,1.6252491,45.27287641
30,30,8,225,0.1,0.1,1800,8,8,1.5333,0.3833,43.64762731,1.6252491,45.27287641
30,40,8,90,0.1,0.1,2400,18,8,1.4667,0.3667,43.76442828,1.5139523,45.27838058
30,40,8,270,0.1,0.1,2400,18,8,1.4667,0.3667,43.76442828,1.5139523,45.27838058
40,30,8,0,0.1,0.1,2400,8,18,1.4667,0.3667,43.76483531,1.5139349,45.27877022
40,30,8,180,0.1,0.1,2400,8,18,1.4667,0.3667,43.76483531,1.5139349,45.27877022
60,30,12,315,0.1,0.1,5400,8,38,1.0667,0.2667,43.8672152,1.41164118,45.27885638
60,30,12,135,0.1,0.1,5400,8,38,1.0667,0.2667,43.86753986,1.41205877,45.27959863
30,60,12,225,0.1,0.1,5400,38,8,1.0667,0.2667,43.86823444,1.41163435,45.27986878
50,30,8,90,0.1,0.1,3000,8,28,1.4267,0.3567,43.74987277,1.5384197,45.28829247
50,30,8,270,0.1,0.1,3000,8,28,1.4267,0.3567,43.74987277,1.5384197,45.28829247
30,50,8,180,0.1,0.1,3000,28,8,1.4267,0.3567,43.75008542,1.53904796,45.28913338
60,30,12,225,0.1,0.1,5400,8,38,1.0667,0.2667,43.86702581,1.42339023,45.29041604
30,60,12,315,0.1,0.1,5400,38,8,1.0667,0.2667,43.86836804,1.42352224,45.29189027
60,30,12,45,0.1,0.1,5400,8,38,1.0667,0.2667,43.87188747,1.42218523,45.2940727
30,60,12,90,0.1,0.1,5400,38,8,1.0667,0.2667,43.9717192,1.33052579,45.30224499
30,60,12,270,0.1,0.1,5400,38,8,1.0667,0.2667,43.9717192,1.33052579,45.30224499
60,30,12,0,0.1,0.1,5400,8,38,1.0667,0.2667,43.97564217,1.3299701,45.30561227
60,30,12,180,0.1,0.1,5400,8,38,1.0667,0.2667,43.97564217,1.3299701,45.30561227
40,30,8,90,0.1,0.1,2400,8,18,1.4667,0.3667,43.76241566,1.5434204,45.30583606
40,30,8,270,0.1,0.1,2400,8,18,1.4667,0.3667,43.76241566,1.5434204,45.30583606
30,40,8,0,0.1,0.1,2400,18,8,1.4667,0.3667,43.76236292,1.54414,45.30650292
30,40,8,180,0.1,0.1,2400,18,8,1.4667,0.3667,43.76236292,1.54414,45.30650292
40,40,8,135,0.1,0.1,3200,18,18,1.4,0.35,43.75758599,1.55139217,45.30897816
40,40,8,315,0.1,0.1,3200,18,18,1.4,0.35,43.76031747,1.54957255,45.30989002
40,40,8,225,0.1,0.1,3200,18,18,1.4,0.35,43.76124904,1.54909869,45.31034772
40,40,8,45,0.1,0.1,3200,18,18,1.4,0.35,43.76095376,1.54960825,45.31056202
60,30,16,315,0.1,0.1,7200,8,38,0.9,0.225,43.98560561,1.34120126,45.32680686
60,30,16,135,0.1,0.1,7200,8,38,0.9,0.225,43.98584363,1.34154885,45.32739248
30,60,16,225,0.1,0.1,7200,38,8,0.9,0.225,43.98634229,1.34122254,45.32756483
30,30,8,0,0.1,0.1,1800,8,8,1.5333,0.3833,43.77453966,1.55941903,45.3339587
30,30,8,90,0.1,0.1,1800,8,8,1.5333,0.3833,43.77453966,1.55941903,45.3339587
30,30,8,180,0.1,0.1,1800,8,8,1.5333,0.3833,43.77453966,1.55941903,45.3339587
30,30,8,270,0.1,0.1,1800,8,8,1.5333,0.3833,43.77453966,1.55941903,45.3339587
50,30,12,135,0.1,0.1,4500,8,28,1.0933,0.2733,43.91947269,1.41744053,45.33691321
60,30,16,225,0.1,0.1,7200,8,38,0.9,0.225,43.98453548,1.35248948,45.33702496
30,60,16,315,0.1,0.1,7200,38,8,0.9,0.225,43.98545041,1.35259108,45.3380415
30,50,12,225,0.1,0.1,4500,28,8,1.0933,0.2733,43.92138583,1.41683884,45.33822467
50,30,12,315,0.1,0.1,4500,8,28,1.0933,0.2733,43.92238808,1.41597782,45.3383659
30,50,12,45,0.1,0.1,4500,28,8,1.0933,0.2733,43.92239855,1.41624185,45.3386404
40,50,8,45,0.1,0.1,4000,28,18,1.36,0.34,43.81502277,1.52434134,45.33936411
60,30,16,45,0.1,0.1,7200,8,38,0.9,0.225,43.98799421,1.35163326,45.33962746
50,40,8,45,0.1,0.1,4000,18,28,1.36,0.34,43.81021214,1.53028616,45.3404983
50,40,8,315,0.1,0.1,4000,18,28,1.36,0.34,43.81725801,1.52363682,45.34089483
50,40,8,135,0.1,0.1,4000,18,28,1.36,0.34,43.81957633,1.52237439,45.34195072
60,40,8,315,0.1,0.1,4800,18,38,1.3333,0.3333,43.82846361,1.51374461,45.34220822
40,50,8,225,0.1,0.1,4000,28,18,1.36,0.34,43.818979,1.52393014,45.34290914
40,60,8,45,0.1,0.1,4800,38,18,1.3333,0.3333,43.83233724,1.51238412,45.34472136
50,30,12,225,0.1,0.1,4500,8,28,1.0933,0.2733,43.91858938,1.42665173,45.34524111
60,40,8,135,0.1,0.1,4800,18,38,1.3333,0.3333,43.83431996,1.5114177,45.34573766
40,50,8,135,0.1,0.1,4000,28,18,1.36,0.34,43.81778388,1.52869753,45.34648141
40,60,8,225,0.1,0.1,4800,38,18,1.3333,0.3333,43.83555066,1.51107104,45.34662169
40,50,8,315,0.1,0.1,4000,28,18,1.36,0.34,43.81900563,1.5279276,45.34693323
30,50,12,315,0.1,0.1,4500,28,8,1.0933,0.2733,43.92367524,1.42529022,45.34896546
30,50,12,135,0.1,0.1,4500,28,8,1.0933,0.2733,43.92356484,1.42542617,45.34899101
50,40,8,225,0.1,0.1,4000,18,28,1.36,0.34,43.82269087,1.52668985,45.34938073
40,60,8,315,0.1,0.1,4800,38,18,1.3333,0.3333,43.82964109,1.51994215,45.34958325
40,60,8,135,0.1,0.1,4800,38,18,1.3333,0.3333,43.82966926,1.51994024,45.3496095
50,30,12,45,0.1,0.1,4500,8,28,1.0933,0.2733,43.92575894,1.42442916,45.35018809
30,60,16,90,0.1,0.1,7200,38,8,0.9,0.225,44.09210306,1.25824755,45.3503506
30,60,16,270,0.1,0.1,7200,38,8,0.9,0.225,44.09210306,1.25824755,45.3503506
60,30,16,0,0.1,0.1,7200,8,38,0.9,0.225,44.09334257,1.25784014,45.35118271
60,30,16,180,0.1,0.1,7200,8,38,0.9,0.225,44.09334257,1.25784014,45.35118271
60,40,8,225,0.1,0.1,4800,18,38,1.3333,0.3333,43.83359842,1.51908856,45.35268698
60,40,8,45,0.1,0.1,4800,18,38,1.3333,0.3333,43.83632723,1.51818421,45.35451145
40,40,8,90,0.1,0.1,3200,18,18,1.4,0.35,43.86288382,1.4951996,45.35808342
40,40,8,270,0.1,0.1,3200,18,18,1.4,0.35,43.86288382,1.4951996,45.35808342
40,40,8,0,0.1,0.1,3200,18,18,1.4,0.35,43.8632284,1.49635848,45.35958687
40,40,8,180,0.1,0.1,3200,18,18,1.4,0.35,43.8632284,1.49635848,45.35958687
60,40,12,315,0.1,0.1,7200,18,38,1,0.25,43.98121345,1.38306748,45.36428093
30,60,12,0,0.1,0.1,5400,38,8,1.0667,0.2667,43.96910685,1.39613148,45.36523833
30,60,12,180,0.1,0.1,5400,38,8,1.0667,0.2667,43.96910685,1.39613148,45.36523833
60,30,12,90,0.1,0.1,5400,8,38,1.0667,0.2667,43.97022628,1.39525585,45.36548213
60,30,12,270,0.1,0.1,5400,8,38,1.0667,0.2667,43.97022628,1.39525585,45.36548213
40,60,12,45,0.1,0.1,7200,38,18,1,0.25,43.98367857,1.38190153,45.3655801
60,40,12,135,0.1,0.1,7200,18,38,1,0.25,43.98483605,1.38135784,45.36619389
60,40,16,315,0.1,0.1,9600,18,38,0.8333,0.2083,44.04563349,1.32071021,45.3663437
40,60,12,225,0.1,0.1,7200,38,18,1,0.25,43.98607671,1.38104058,45.36711729
